Unnamed: 0;puissance;HPHC;jour_conso;hm_conso;h_conso;jour_semaine;periode;consommation
1;3.52917499740918;HC;23-01-10;01:00;1;mardi;2023;0.587858774400956
2;2.36480833080908;HC;23-01-10;01:10;1;mardi;2023;0.554739732899179
3;2.26439167528103;HC;23-01-10;01:20;1;mardi;2023;0.254364700000224
4;3.53735834757487;HC;23-01-10;01:30;1;mardi;2023;0.551396842400209
5;3.53734168410301;HC;23-01-10;01:40;1;mardi;2023;0.589552919100242
6;3.53113332589467;HC;23-01-10;01:50;1;mardi;2023;0.589082974800476
7;3.52256668011347;HC;23-01-10;02:00;2;mardi;2023;0.587741366800401
8;3.52415834863981;HC;23-01-10;02:10;2;mardi;2023;0.587192490598682
9;3.52583899942495;HC;23-01-10;02:20;2;mardi;2023;0.587557514299988
10;3.52655002474785;HC;23-01-10;02:30;2;mardi;2023;0.587574551200305
11;3.53302499453227;HC;23-01-10;02:40;2;mardi;2023;0.588344342701021
12;3.53422499497732;HC;23-01-10;02:50;2;mardi;2023;0.588924500400026
13;3.42587500413259;HC;23-01-10;03:00;3;mardi;2023;0.586801517300046
14;2.64247499704361;HC;23-01-10;03:10;3;mardi;2023;0.50813336759893
15;2.07136666377385;HC;23-01-10;03:20;3;mardi;2023;0.388699594299396
16;1.65492500066757;HC;23-01-10;03:30;3;mardi;2023;0.309230058001049
17;1.36654166579247;HC;23-01-10;03:40;3;mardi;2023;0.250258368199866
18;1.14970833261808;HC;23-01-10;03:50;3;mardi;2023;0.208648379399165
19;0.986474998792012;HC;23-01-10;04:00;4;mardi;2023;0.176172291599869
20;0.849966666599115;HC;23-01-10;04:10;4;mardi;2023;0.153468055801568
21;0.731100003421307;HC;23-01-10;04:20;4;mardi;2023;0.131538124898725
22;0.62533333649238;HC;23-01-10;04:30;4;mardi;2023;0.11253464190122
23;0.548999997497607;HC;23-01-10;04:40;4;mardi;2023;0.0975538773000153
24;0.492344535198532;HC;23-01-10;04:50;4;mardi;2023;0.0868967009992048
25;0.102042373033019;HC;23-01-10;05:00;5;mardi;2023;0.0546655090001877
26;0.0;HC;23-01-10;05:10;5;mardi;2023;0.0017929977002495
27;0.0;HC;23-01-10;05:20;5;mardi;2023;0.0
28;0.0;HC;23-01-10;05:30;5;mardi;2023;0.0
29;0.0;HC;23-01-10;05:40;5;mardi;2023;0.0
30;0.0;HC;23-01-10;05:50;5;mardi;2023;0.0
31;3.69546669051051;HC;23-01-10;06:00;6;mardi;2023;0.159997119098989
32;7.24013332923253;HC;23-01-10;06:10;6;mardi;2023;1.06418614860013
33;7.26576664845149;HC;23-01-10;06:20;6;mardi;2023;1.20884109770122
34;7.27250833908717;HC;23-01-10;06:30;6;mardi;2023;1.21122263859979
35;7.28940834204356;HC;23-01-10;06:40;6;mardi;2023;1.21424687479885
36;7.27826667229334;HC;23-01-10;06:50;6;mardi;2023;1.21398633280114
37;7.25617499351501;HP;23-01-10;07:00;7;mardi;2023;1.21128613389919
38;7.31914169390996;HP;23-01-10;07:10;7;mardi;2023;1.21420731520084
39;7.30595830281576;HP;23-01-10;07:20;7;mardi;2023;1.21836780189915
40;7.31839166879654;HP;23-01-10;07:30;7;mardi;2023;1.21924576170022
41;7.29443333546321;HP;23-01-10;07:40;7;mardi;2023;1.21786219870046
42;7.27942502101262;HP;23-01-10;07:50;7;mardi;2023;1.21453583609946
43;7.25786665678024;HP;23-01-10;08:00;8;mardi;2023;1.21144872809964
44;7.32890836000442;HP;23-01-10;08:10;8;mardi;2023;1.21406266290069
45;7.34812500079473;HP;23-01-10;08:20;8;mardi;2023;1.22427508339933
46;7.34153335094452;HP;23-01-10;08:30;8;mardi;2023;1.22430615919984
47;7.34795834223429;HP;23-01-10;08:40;8;mardi;2023;1.22397236320103
48;7.32839998801549;HP;23-01-10;08:50;8;mardi;2023;1.2233899189996
49;7.16887604106556;HP;23-01-10;09:00;9;mardi;2023;1.20854201210022
50;7.10283332665761;HP;23-01-10;09:10;9;mardi;2023;1.17672560390019
51;7.08124999205271;HP;23-01-10;09:20;9;mardi;2023;1.18147108609992
52;9.23412503401438;HP;23-01-10;09:30;9;mardi;2023;1.29436245509896
53;10.5552166859309;HP;23-01-10;09:40;9;mardi;2023;1.71653030550078
54;10.5525917132696;HP;23-01-10;09:50;9;mardi;2023;1.75863626789942
55;10.5931999762853;HP;23-01-10;10:00;10;mardi;2023;1.76079940740055
56;10.6413749694824;HP;23-01-10;10:10;10;mardi;2023;1.77065232399946
57;10.6044749816259;HP;23-01-10;10:20;10;mardi;2023;1.77195407080035
58;13.2396749337514;HP;23-01-10;10:30;10;mardi;2023;1.9105815553994
59;13.8339416742325;HP;23-01-10;10:40;10;mardi;2023;2.33418513410106
60;13.8397416830063;HP;23-01-10;10:50;10;mardi;2023;2.30589685389896
61;13.857958372434;HC;23-01-10;11:00;11;mardi;2023;2.30827768920062
62;13.8484000603358;HC;23-01-10;11:10;11;mardi;2023;2.30905682520097
63;13.8491750399272;HC;23-01-10;11:20;11;mardi;2023;2.30814438309972
64;13.8490417003632;HC;23-01-10;11:30;11;mardi;2023;2.30769449780018
65;11.3969083388646;HC;23-01-10;11:40;11;mardi;2023;2.13852504009992
66;10.8856833378474;HC;23-01-10;11:50;11;mardi;2023;1.82030718900023
67;10.8915500164032;HC;23-01-10;12:00;12;mardi;2023;1.8151107054
68;10.8865750233332;HC;23-01-10;12:10;12;mardi;2023;1.81453816270005
69;10.8880166689555;HC;23-01-10;12:20;12;mardi;2023;1.81450955109904
70;10.8916583458583;HC;23-01-10;12:30;12;mardi;2023;1.8155435328008
71;10.8933749993642;HC;23-01-10;12:40;12;mardi;2023;1.81481222279945
72;10.9015000025431;HC;23-01-10;12:50;12;mardi;2023;1.81637919079913
73;10.1352250178655;HC;23-01-10;13:00;13;mardi;2023;1.76863943330136
74;7.52441664934158;HC;23-01-10;13:10;13;mardi;2023;1.54161560149987
75;3.8065666615963;HC;23-01-10;13:20;13;mardi;2023;0.880252046099486
76;2.49234166542689;HC;23-01-10;13:30;13;mardi;2023;0.509506378299193
77;1.72008334199587;HC;23-01-10;13:40;13;mardi;2023;0.345761689801293
78;0.40273333316048;HC;23-01-10;13:50;13;mardi;2023;0.193947974999901
79;0.0;HC;23-01-10;14:00;14;mardi;2023;0.0081756828003563
80;0.0;HC;23-01-10;14:10;14;mardi;2023;0.0
81;0.0;HC;23-01-10;14:20;14;mardi;2023;0.0
82;0.0;HC;23-01-10;14:30;14;mardi;2023;0.0
83;0.0;HC;23-01-10;14:40;14;mardi;2023;0.0
84;0.0;HC;23-01-10;14:50;14;mardi;2023;0.0
85;0.0;HC;23-01-10;15:00;15;mardi;2023;0.0
86;0.0;HC;23-01-10;15:10;15;mardi;2023;0.0
87;0.0;HC;23-01-10;15:20;15;mardi;2023;0.0
88;0.0;HC;23-01-10;15:30;15;mardi;2023;0.0
89;0.0;HC;23-01-10;15:40;15;mardi;2023;0.0
90;0.0;HC;23-01-10;15:50;15;mardi;2023;0.0
91;0.0;HC;23-01-10;16:00;16;mardi;2023;0.0
92;0.0;HC;23-01-10;16:10;16;mardi;2023;0.0
93;0.0;HC;23-01-10;16:20;16;mardi;2023;0.0
94;0.0;HC;23-01-10;16:30;16;mardi;2023;0.0
95;0.0;HC;23-01-10;16:40;16;mardi;2023;0.0
96;0.0;HC;23-01-10;16:50;16;mardi;2023;0.0
97;0.0;HC;23-01-10;17:00;17;mardi;2023;0.0
98;0.0;HC;23-01-10;17:10;17;mardi;2023;0.0
99;0.0;HC;23-01-10;17:20;17;mardi;2023;0.0
100;0.0;HC;23-01-10;17:30;17;mardi;2023;0.0
101;0.0;HC;23-01-10;17:40;17;mardi;2023;0.0
102;0.0;HC;23-01-10;17:50;17;mardi;2023;0.0
103;0.0;HP;23-01-10;18:00;18;mardi;2023;0.0
104;0.0;HP;23-01-10;18:10;18;mardi;2023;0.0
105;0.0;HP;23-01-10;18:20;18;mardi;2023;0.0
106;0.0;HP;23-01-10;18:30;18;mardi;2023;0.0
107;0.0;HP;23-01-10;18:40;18;mardi;2023;0.0
108;0.0;HP;23-01-10;18:50;18;mardi;2023;0.0
109;0.0;HP;23-01-10;19:00;19;mardi;2023;0.0
110;0.0;HP;23-01-10;19:10;19;mardi;2023;0.0
111;0.0;HP;23-01-10;19:20;19;mardi;2023;0.0
112;0.0;HP;23-01-10;19:30;19;mardi;2023;0.0
113;0.0;HP;23-01-10;19:40;19;mardi;2023;0.0
114;0.0;HP;23-01-10;19:50;19;mardi;2023;0.0
115;0.0;HC;23-01-10;20:00;20;mardi;2023;0.0
116;0.0;HC;23-01-10;20:10;20;mardi;2023;0.0
117;0.0;HC;23-01-10;20:20;20;mardi;2023;0.0
118;0.0;HC;23-01-10;20:30;20;mardi;2023;0.0
119;0.0;HC;23-01-10;20:40;20;mardi;2023;0.0
120;0.0;HC;23-01-10;20:50;20;mardi;2023;0.0
121;0.0;HC;23-01-10;21:00;21;mardi;2023;0.0
122;0.0;HC;23-01-10;21:10;21;mardi;2023;0.0
123;0.0;HC;23-01-10;21:20;21;mardi;2023;0.0
124;0.0;HC;23-01-10;21:30;21;mardi;2023;0.0
125;0.0;HC;23-01-10;21:40;21;mardi;2023;0.0
126;0.0;HC;23-01-10;21:50;21;mardi;2023;0.0
127;0.0;HC;23-01-10;22:00;22;mardi;2023;0.0
128;0.0;HC;23-01-10;22:10;22;mardi;2023;0.0
129;0.0;HC;23-01-10;22:20;22;mardi;2023;0.0
130;0.0;HC;23-01-10;22:30;22;mardi;2023;0.0
131;0.0;HC;23-01-10;22:40;22;mardi;2023;0.0
132;0.0;HC;23-01-10;22:50;22;mardi;2023;0.0
133;0.0;HC;23-01-10;23:00;23;mardi;2023;0.0
134;0.0;HC;23-01-10;23:10;23;mardi;2023;0.0
135;0.0;HC;23-01-10;23:20;23;mardi;2023;0.0
136;0.0;HC;23-01-10;23:30;23;mardi;2023;0.0
137;0.0;HC;23-01-10;23:40;23;mardi;2023;0.0
138;0.0;HC;23-01-10;23:50;23;mardi;2023;0.0
139;0.0;HC;23-01-11;00:00;0;mercredi;2023;0.0
140;0.0;HC;23-01-11;00:10;0;mercredi;2023;0.0
141;0.0;HC;23-01-11;00:20;0;mercredi;2023;0.0
142;0.0;HC;23-01-11;00:30;0;mercredi;2023;0.0
143;0.0;HC;23-01-11;00:40;0;mercredi;2023;0.0
144;0.0;HC;23-01-11;00:50;0;mercredi;2023;0.0
145;0.0;HC;23-01-11;01:00;1;mercredi;2023;0.0
146;0.0;HC;23-01-11;01:10;1;mercredi;2023;0.0
147;0.0;HC;23-01-11;01:20;1;mercredi;2023;0.0
148;0.0;HC;23-01-11;01:30;1;mercredi;2023;0.0
149;0.0;HC;23-01-11;01:40;1;mercredi;2023;0.0
150;0.0;HC;23-01-11;01:50;1;mercredi;2023;0.0
151;0.0;HC;23-01-11;02:00;2;mercredi;2023;0.0
152;0.0;HC;23-01-11;02:10;2;mercredi;2023;0.0
153;0.0;HC;23-01-11;02:20;2;mercredi;2023;0.0
154;0.0;HC;23-01-11;02:30;2;mercredi;2023;0.0
155;0.0;HC;23-01-11;02:40;2;mercredi;2023;0.0
156;0.0;HC;23-01-11;02:50;2;mercredi;2023;0.0
157;0.0;HC;23-01-11;03:00;3;mercredi;2023;0.0
158;0.0;HC;23-01-11;03:10;3;mercredi;2023;0.0
159;0.0;HC;23-01-11;03:20;3;mercredi;2023;0.0
160;0.0;HC;23-01-11;03:30;3;mercredi;2023;0.0
161;0.0;HC;23-01-11;03:40;3;mercredi;2023;0.0
162;0.0;HC;23-01-11;03:50;3;mercredi;2023;0.0
163;0.0;HC;23-01-11;04:00;4;mercredi;2023;0.0
164;0.0;HC;23-01-11;04:10;4;mercredi;2023;0.0
165;0.0;HC;23-01-11;04:20;4;mercredi;2023;0.0
166;0.0;HC;23-01-11;04:30;4;mercredi;2023;0.0
167;0.0;HC;23-01-11;04:40;4;mercredi;2023;0.0
168;0.0;HC;23-01-11;04:50;4;mercredi;2023;0.0
169;0.0;HC;23-01-11;05:00;5;mercredi;2023;0.0
170;0.0;HC;23-01-11;05:10;5;mercredi;2023;0.0
171;0.0;HC;23-01-11;05:20;5;mercredi;2023;0.0
172;0.0;HC;23-01-11;05:30;5;mercredi;2023;0.0
173;0.0;HC;23-01-11;05:40;5;mercredi;2023;0.0
